Migrant UTLA one year ago code,Migrant UTLA one year ago label,Count
-8,Does not apply,52532046
999999999,Person with migrant origin outside the UK,545101
E10000016,Kent,143644
E10000012,Essex,130770
E10000014,Hampshire,127803
E10000030,Surrey,126166
E10000015,Hertfordshire,116112
E08000025,Birmingham,114073
E10000017,Lancashire,108494
E08000035,Leeds,99134
E10000025,Oxfordshire,87430
E10000020,Norfolk,83667
E08000003,Manchester,81725
E10000008,Devon,79795
E10000032,West Sussex,79588
E10000019,Lincolnshire,73416
E06000023,Bristol,73086
E10000003,Cambridgeshire,71869
E10000028,Staffordshire,69800
E10000024,Nottinghamshire,67642
E09000032,Wandsworth,65463
E10000029,Suffolk,65452
E10000018,Leicestershire,63270
E08000019,Sheffield,62183
E10000013,Gloucestershire,60914
E10000007,Derbyshire,59410
E09000022,Lambeth,58907
E08000012,Liverpool,57500
E09000030,Tower Hamlets,56089
E10000031,Warwickshire,55769
E10000023,North Yorkshire,54994
E09000028,Southwark,52288
E06000052,Cornwall,51740
E06000060,Buckinghamshire,51031
E10000034,Worcestershire,49934
E06000018,Nottingham,49590
E10000027,Somerset,49560
W06000015,Cardiff,49363
E09000025,Newham,49346
E06000054,Wiltshire,48497
E09000005,Brent,48109
E10000011,East Sussex,47524
E06000058,"Bournemouth, Christchurch and Poole",47410
E06000047,County Durham,46806
E09000009,Ealing,46488
E06000043,Brighton and Hove,45939
E09000003,Barnet,45401
E08000021,Newcastle upon Tyne,45080
E08000032,Bradford,42699
E06000062,West Northamptonshire,42507
E06000016,Leicester,42217
E08000026,Coventry,42117
E09000012,Hackney,41332
E09000008,Croydon,41158
E09000014,Haringey,40559
E09000019,Islington,40141
E09000023,Lewisham,40084
E10000006,Cumbria,38179
E09000007,Camden,37596
E09000013,Hammersmith and Fulham,36776
E09000018,Hounslow,34940
E09000033,Westminster,34900
E09000011,Greenwich,34404
E06000049,Cheshire East,34343
E08000034,Kirklees,34155
E09000031,Waltham Forest,33371
E09000010,Enfield,33184
E06000045,Southampton,33161
E09000017,Hillingdon,32951
E06000059,Dorset,32639
E09000026,Redbridge,32440
E06000061,North Northamptonshire,32427
E08000006,Salford,31640
E09000006,Bromley,31574
E06000050,Cheshire West and Chester,31245
E06000026,Plymouth,30138
E06000042,Milton Keynes,29417
E06000014,York,28850
E06000044,Portsmouth,28554
E09000015,Harrow,28268
E06000025,South Gloucestershire,27979
E06000010,Kingston upon Hull,27362
E09000024,Merton,27270
E06000011,East Riding of Yorkshire,26945
E06000051,Shropshire,26806
E06000022,Bath and North East Somerset,26441
E06000038,Reading,26137
E06000015,Derby,25810
E08000036,Wakefield,25639
E06000035,Medway,25400
E08000028,Sandwell,24822
E09000027,Richmond upon Thames,24516
E06000056,Central Bedfordshire,24490
E08000017,Doncaster,24109
E08000015,Wirral,23850
E08000007,Stockport,23165
E08000010,Wigan,23020
W06000011,Swansea,22925
E06000057,Northumberland,22902
E06000021,Stoke-on-Trent,22778
E06000030,Swindon,22729
E09000016,Havering,22590
E08000001,Bolton,22460
E08000027,Dudley,21892
E09000020,Kensington and Chelsea,21621
E06000032,Luton,21442
E06000031,Peterborough,21200
E09000004,Bexley,21093
E08000031,Wolverhampton,21032
E09000002,Barking and Dagenham,20919
E08000024,Sunderland,20611
E09000021,Kingston upon Thames,20510
E08000030,Walsall,20230
E08000009,Trafford,20160
E08000014,Sefton,19719
E09000029,Sutton,19381
E08000018,Rotherham,19340
E06000024,North Somerset,19314
E06000007,Warrington,17900
E08000016,Barnsley,17556
E08000029,Solihull,17495
W06000016,Rhondda Cynon Taf,17321
E08000033,Calderdale,16800
E06000041,Wokingham,16642
E06000055,Bedford,16614
E06000033,Southend-on-Sea,16563
E06000020,Telford and Wrekin,16545
E08000008,Tameside,16443
E06000004,Stockton-on-Tees,16424
E08000004,Oldham,16213
E08000005,Rochdale,15995
E06000040,Windsor and Maidenhead,15988
E06000019,Herefordshire,15985
E08000037,Gateshead,15912
E08000022,North Tyneside,15808
E06000039,Slough,15483
E06000037,West Berkshire,15034
E06000034,Thurrock,15004
E08000002,Bury,14357
E06000013,North Lincolnshire,13682
E06000012,North East Lincolnshire,13382
W06000010,Carmarthenshire,13243
E06000002,Middlesbrough,13226
E06000046,Isle of Wight,12943
E06000009,Blackpool,12722
E08000013,St. Helens,12306
E06000036,Bracknell Forest,12031
E06000008,Blackburn with Darwen,11950
E06000027,Torbay,11839
W06000022,Newport,11723
W06000002,Gwynedd,11327
W06000018,Caerphilly,11302
W06000005,Flintshire,11146
W06000013,Bridgend,10622
W06000006,Wrexham,10559
W06000014,Vale of Glamorgan,10455
W06000012,Neath Port Talbot,10306
E08000023,South Tyneside,10128
W06000023,Powys,9938
E06000003,Redcar and Cleveland,9873
E08000011,Knowsley,9578
W06000009,Pembrokeshire,9255
E06000005,Darlington,9064
E06000006,Halton,9048
W06000003,Conwy,8569
W06000008,Ceredigion,8542
E06000001,Hartlepool,7860
W06000004,Denbighshire,7626
W06000021,Monmouthshire,7118
W06000020,Torfaen,6312
W06000001,Isle of Anglesey,4883
W06000019,Blaenau Gwent,4457
E06000017,Rutland,3784
W06000024,Merthyr Tydfil,3631
E09000001,City of London,1561
E06000053,Isles of Scilly,182
